ID,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
1243,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1245,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy
1246,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1248,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1250,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1251,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1252,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Somewhat happy,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Neutral
1253,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Neutral,Neutral,Neutral,Neutral,Neutral
1254,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral
1256,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1257,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1258,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1259,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Neutral,Neutral,Somewhat unhappy,Somewhat unhappy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy
1260,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat unhappy,Somewhat happy,Happy,Happy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1261,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Happy,Happy,Happy,Happy
1262,Somewhat unhappy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1263,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy
1264,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Neutral
1265,Somewhat happy,Neutral,Somewhat happy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Unhappy,Unhappy,Unhappy,Unhappy
1266,Somewhat unhappy,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral
1267,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1270,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1271,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1272,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Happy,Happy,Happy
1273,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy
1276,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Happy,Happy,Happy
1277,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral
1279,Somewhat happy,Somewhat happy,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Happy,Happy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1280,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1282,Somewhat unhappy,Happy,Unhappy,Neutral,Somewhat happy,Somewhat unhappy,Neutral,Somewhat unhappy,Somewhat unhappy,Somewhat happy,Somewhat unhappy,Somewhat happy,Somewhat unhappy,Somewhat happy,Somewhat unhappy,Somewhat unhappy,Neutral,Somewhat happy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy
1283,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1284,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy
1285,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy
1286,Neutral,Neutral,Somewhat happy,Neutral,Somewhat unhappy,Neutral,Neutral,Neutral,Neutral,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1287,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy
1288,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1289,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1290,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat unhappy,Somewhat unhappy,Neutral,Neutral,Neutral
1292,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1293,Happy,Happy,Happy,Happy,Somewhat happy,Somewhat happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1294,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy
1295,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Neutral,Neutral
1296,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1297,Neutral,Somewhat happy,Somewhat happy,Somewhat unhappy,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat unhappy,Happy,Somewhat happy,Somewhat happy,Happy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1298,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy
1299,Unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1300,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1301,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1302,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1303,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1304,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat unhappy,Somewhat unhappy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy
1305,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy,Unhappy
1306,Neutral,Neutral,Somewhat happy,Happy,Happy,Happy,Happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy
1307,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1309,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy
1310,Somewhat happy,Somewhat happy,Somewhat happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1311,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
