id,Family_Cluster,Happiness_Cluster,CombT,CombT_Merged
589,4,1,4+1,4+1
590,2,2,2+2,2+2
591,1,2,1+2,1+2
592,3,2,3+2,3+2
593,1,5,1+5,1+5
594,2,3,2+3,2+3
595,3,1,3+1,3+1
596,1,4,1+4,1+4
597,4,1,4+1,4+1
598,1,1,1+1,1+1
599,1,5,1+5,1+5
600,3,1,3+1,3+1
601,1,1,1+1,1+1
602,4,1,4+1,4+1
603,2,2,2+2,2+2
604,1,1,1+1,1+1
605,1,1,1+1,1+1
606,4,1,4+1,4+1
607,3,2,3+2,3+2
608,4,1,4+1,4+1
609,1,1,1+1,1+1
610,4,1,4+1,4+1
611,4,2,4+2,4+2
612,3,2,3+2,3+2
613,4,1,4+1,4+1
614,1,1,1+1,1+1
615,1,1,1+1,1+1
616,1,1,1+1,1+1
617,3,3,3+3,3+3
618,3,5,3+5,3+5
619,4,3,4+3,4+3
620,4,1,4+1,4+1
621,1,1,1+1,1+1
622,1,1,1+1,1+1
623,4,3,4+3,4+3
624,4,1,4+1,4+1
625,1,2,1+2,1+2
626,4,4,4+4,4+4
627,1,1,1+1,1+1
628,1,1,1+1,1+1
629,4,1,4+1,4+1
630,4,2,4+2,4+2
631,3,3,3+3,3+3
632,3,2,3+2,3+2
633,1,1,1+1,1+1
634,3,2,3+2,3+2
635,2,3,2+3,2+3
636,3,1,3+1,3+1
637,3,2,3+2,3+2
638,3,2,3+2,3+2
639,4,3,4+3,4+3
640,3,3,3+3,3+3
641,1,2,1+2,1+2
642,3,3,3+3,3+3
643,3,3,3+3,3+3
644,1,3,1+3,1+3
645,4,3,4+3,4+3
646,4,1,4+1,4+1
647,4,3,4+3,4+3
648,3,3,3+3,3+3
649,3,2,3+2,3+2
650,4,1,4+1,4+1
651,4,3,4+3,4+3
652,3,1,3+1,3+1
653,1,5,1+5,1+5
654,3,2,3+2,3+2
655,3,1,3+1,3+1
656,3,1,3+1,3+1
657,1,4,1+4,1+4
658,3,3,3+3,3+3
659,4,2,4+2,4+2
660,3,3,3+3,3+3
661,3,2,3+2,3+2
662,2,5,2+5,2+5
663,4,2,4+2,4+2
664,1,1,1+1,1+1
665,3,4,3+4,3+4
666,2,2,2+2,2+2
667,4,2,4+2,4+2
668,3,2,3+2,3+2
669,4,1,4+1,4+1
670,3,2,3+2,3+2
671,3,1,3+1,3+1
672,1,3,1+3,1+3
673,1,2,1+2,1+2
674,4,3,4+3,4+3
675,4,1,4+1,4+1
676,2,1,2+1,2+1
677,3,2,3+2,3+2
678,4,1,4+1,4+1
679,1,3,1+3,1+3
680,1,1,1+1,1+1
681,4,1,4+1,4+1
682,1,1,1+1,1+1
683,4,1,4+1,4+1
684,1,1,1+1,1+1
685,4,1,4+1,4+1
686,4,2,4+2,4+2
687,1,1,1+1,1+1
688,3,5,3+5,3+5
689,3,3,3+3,3+3
690,3,1,3+1,3+1
691,4,1,4+1,4+1
692,1,1,1+1,1+1
693,4,1,4+1,4+1
694,4,3,4+3,4+3
695,4,2,4+2,4+2
696,2,2,2+2,2+2
697,4,2,4+2,4+2
698,4,4,4+4,4+4
699,3,2,3+2,3+2
700,1,3,1+3,1+3
701,1,2,1+2,1+2
702,4,2,4+2,4+2
703,3,1,3+1,3+1
704,3,2,3+2,3+2
705,4,2,4+2,4+2
706,3,1,3+1,3+1
707,4,2,4+2,4+2
708,3,2,3+2,3+2
709,1,2,1+2,1+2
710,1,3,1+3,1+3
711,3,3,3+3,3+3
712,4,1,4+1,4+1
713,3,3,3+3,3+3
714,1,3,1+3,1+3
715,2,2,2+2,2+2
716,3,3,3+3,3+3
717,3,3,3+3,3+3
718,1,1,1+1,1+1
719,1,1,1+1,1+1
720,4,2,4+2,4+2
721,2,4,2+4,2+4
722,4,3,4+3,4+3
723,4,2,4+2,4+2
724,4,3,4+3,4+3
725,2,1,2+1,2+1
726,2,3,2+3,2+3
727,2,3,2+3,2+3
728,1,2,1+2,1+2
729,3,2,3+2,3+2
730,1,1,1+1,1+1
731,4,3,4+3,4+3
732,4,1,4+1,4+1
733,1,5,1+5,1+5
734,4,3,4+3,4+3
735,1,4,1+4,1+4
736,1,3,1+3,1+3
737,2,3,2+3,2+3
738,4,1,4+1,4+1
739,2,2,2+2,2+2
740,4,1,4+1,4+1
741,4,2,4+2,4+2
742,1,1,1+1,1+1
743,1,3,1+3,1+3
744,2,3,2+3,2+3
745,1,3,1+3,1+3
746,3,3,3+3,3+3
747,2,1,2+1,2+1
748,3,2,3+2,3+2
749,1,1,1+1,1+1
750,3,3,3+3,3+3
751,2,1,2+1,2+1
752,2,1,2+1,2+1
753,3,3,3+3,3+3
754,1,1,1+1,1+1
755,1,1,1+1,1+1
756,1,1,1+1,1+1
757,2,2,2+2,2+2
758,4,2,4+2,4+2
759,3,3,3+3,3+3
760,4,3,4+3,4+3
761,4,3,4+3,4+3
762,3,1,3+1,3+1
763,3,1,3+1,3+1
764,4,1,4+1,4+1
765,3,1,3+1,3+1
766,4,3,4+3,4+3
767,2,1,2+1,2+1
768,4,2,4+2,4+2
769,3,1,3+1,3+1
770,1,1,1+1,1+1
771,4,2,4+2,4+2
772,2,1,2+1,2+1
773,3,3,3+3,3+3
774,3,2,3+2,3+2
775,1,2,1+2,1+2
776,4,1,4+1,4+1
777,1,1,1+1,1+1
778,1,1,1+1,1+1
779,3,3,3+3,3+3
780,4,3,4+3,4+3
781,4,1,4+1,4+1
782,3,2,3+2,3+2
783,3,4,3+4,3+4
784,1,3,1+3,1+3
785,3,3,3+3,3+3
786,2,3,2+3,2+3
787,4,3,4+3,4+3
788,3,3,3+3,3+3
789,1,2,1+2,1+2
790,1,2,1+2,1+2
791,4,3,4+3,4+3
792,4,3,4+3,4+3
793,3,3,3+3,3+3
794,4,3,4+3,4+3
795,2,1,2+1,2+1
796,3,2,3+2,3+2
797,3,1,3+1,3+1
798,3,3,3+3,3+3
799,1,2,1+2,1+2
800,3,1,3+1,3+1
801,2,3,2+3,2+3
802,1,5,1+5,1+5
803,1,4,1+4,1+4
804,1,2,1+2,1+2
805,2,2,2+2,2+2
806,2,2,2+2,2+2
807,3,1,3+1,3+1
808,4,4,4+4,4+4
809,2,3,2+3,2+3
810,4,3,4+3,4+3
811,4,3,4+3,4+3
812,3,2,3+2,3+2
813,1,3,1+3,1+3
814,4,2,4+2,4+2
815,3,3,3+3,3+3
816,1,1,1+1,1+1
817,3,5,3+5,3+5
818,4,5,4+5,4+5
819,4,3,4+3,4+3
820,3,2,3+2,3+2
821,1,3,1+3,1+3
822,4,2,4+2,4+2
823,3,2,3+2,3+2
824,4,1,4+1,4+1
825,3,3,3+3,3+3
826,1,2,1+2,1+2
827,3,2,3+2,3+2
828,3,3,3+3,3+3
829,1,1,1+1,1+1
830,3,3,3+3,3+3
831,4,3,4+3,4+3
832,1,5,1+5,1+5
833,2,3,2+3,2+3
834,1,1,1+1,1+1
835,4,4,4+4,4+4
836,2,2,2+2,2+2
837,3,2,3+2,3+2
838,4,2,4+2,4+2
839,2,3,2+3,2+3
840,4,2,4+2,4+2
841,3,3,3+3,3+3
842,3,3,3+3,3+3
843,4,1,4+1,4+1
844,2,2,2+2,2+2
845,2,1,2+1,2+1
846,1,1,1+1,1+1
847,3,1,3+1,3+1
848,4,3,4+3,4+3
849,1,2,1+2,1+2
850,1,1,1+1,1+1
851,3,2,3+2,3+2
852,1,2,1+2,1+2
853,4,3,4+3,4+3
854,4,3,4+3,4+3
855,2,5,2+5,2+5
856,4,2,4+2,4+2
857,3,2,3+2,3+2
858,2,1,2+1,2+1
859,3,3,3+3,3+3
860,2,1,2+1,2+1
861,4,1,4+1,4+1
862,4,2,4+2,4+2
863,3,3,3+3,3+3
864,4,1,4+1,4+1
865,4,2,4+2,4+2
866,4,3,4+3,4+3
867,3,3,3+3,3+3
868,4,2,4+2,4+2
869,3,2,3+2,3+2
870,2,1,2+1,2+1
871,1,4,1+4,1+4
872,4,3,4+3,4+3
873,2,1,2+1,2+1
874,3,1,3+1,3+1
875,4,1,4+1,4+1
876,4,1,4+1,4+1
877,1,5,1+5,1+5
878,1,4,1+4,1+4
879,2,1,2+1,2+1
880,3,3,3+3,3+3
881,2,3,2+3,2+3
882,1,1,1+1,1+1
883,1,2,1+2,1+2
884,3,1,3+1,3+1
885,1,3,1+3,1+3
886,1,4,1+4,1+4
887,4,3,4+3,4+3
888,4,3,4+3,4+3
889,1,1,1+1,1+1
890,4,1,4+1,4+1
891,2,3,2+3,2+3
892,3,1,3+1,3+1
893,3,2,3+2,3+2
894,4,2,4+2,4+2
895,3,2,3+2,3+2
896,1,1,1+1,1+1
897,3,2,3+2,3+2
898,1,1,1+1,1+1
899,4,2,4+2,4+2
900,4,2,4+2,4+2
901,1,5,1+5,1+5
902,4,2,4+2,4+2
903,2,1,2+1,2+1
904,4,5,4+5,4+5
905,4,1,4+1,4+1
906,1,1,1+1,1+1
907,1,5,1+5,1+5
908,3,2,3+2,3+2
909,4,3,4+3,4+3
910,1,5,1+5,1+5
911,1,2,1+2,1+2
912,4,3,4+3,4+3
913,4,3,4+3,4+3
914,2,1,2+1,2+1
915,2,1,2+1,2+1
916,4,1,4+1,4+1
917,4,3,4+3,4+3
918,4,3,4+3,4+3
919,1,1,1+1,1+1
920,1,3,1+3,1+3
921,1,1,1+1,1+1
922,1,1,1+1,1+1
923,4,4,4+4,4+4
924,4,3,4+3,4+3
925,1,1,1+1,1+1
926,1,1,1+1,1+1
927,3,2,3+2,3+2
928,4,2,4+2,4+2
929,3,3,3+3,3+3
930,4,2,4+2,4+2
931,1,1,1+1,1+1
932,4,2,4+2,4+2
933,4,3,4+3,4+3
934,2,1,2+1,2+1
935,1,3,1+3,1+3
936,2,3,2+3,2+3
937,4,3,4+3,4+3
938,3,1,3+1,3+1
939,2,1,2+1,2+1
940,4,3,4+3,4+3
941,2,3,2+3,2+3
942,4,3,4+3,4+3
943,4,1,4+1,4+1
944,4,2,4+2,4+2
945,3,3,3+3,3+3
946,1,2,1+2,1+2
947,3,3,3+3,3+3
948,3,2,3+2,3+2
949,3,1,3+1,3+1
950,1,2,1+2,1+2
951,3,3,3+3,3+3
952,4,1,4+1,4+1
953,3,2,3+2,3+2
954,2,1,2+1,2+1
955,4,2,4+2,4+2
956,4,3,4+3,4+3
957,3,3,3+3,3+3
958,1,3,1+3,1+3
959,4,1,4+1,4+1
960,4,3,4+3,4+3
961,3,3,3+3,3+3
962,4,3,4+3,4+3
963,1,1,1+1,1+1
964,4,1,4+1,4+1
965,1,5,1+5,1+5
966,4,1,4+1,4+1
967,2,3,2+3,2+3
968,4,2,4+2,4+2
969,3,2,3+2,3+2
970,3,2,3+2,3+2
971,1,2,1+2,1+2
972,1,2,1+2,1+2
973,4,3,4+3,4+3
974,2,2,2+2,2+2
975,3,3,3+3,3+3
976,4,1,4+1,4+1
977,4,2,4+2,4+2
978,2,2,2+2,2+2
979,3,2,3+2,3+2
980,2,3,2+3,2+3
981,2,1,2+1,2+1
982,1,3,1+3,1+3
983,4,2,4+2,4+2
984,1,2,1+2,1+2
985,1,2,1+2,1+2
986,4,3,4+3,4+3
987,1,1,1+1,1+1
988,2,2,2+2,2+2
989,4,1,4+1,4+1
990,1,1,1+1,1+1
991,4,3,4+3,4+3
992,4,5,4+5,4+5
993,2,3,2+3,2+3
994,4,2,4+2,4+2
995,4,2,4+2,4+2
996,1,1,1+1,1+1
997,4,3,4+3,4+3
998,1,3,1+3,1+3
999,1,1,1+1,1+1
1000,2,3,2+3,2+3
1001,3,3,3+3,3+3
1002,1,1,1+1,1+1
1003,3,4,3+4,3+4
1004,1,2,1+2,1+2
1005,3,3,3+3,3+3
1006,1,5,1+5,1+5
1007,1,1,1+1,1+1
1008,1,3,1+3,1+3
1009,2,1,2+1,2+1
1010,3,1,3+1,3+1
1011,1,1,1+1,1+1
1012,3,1,3+1,3+1
1013,3,2,3+2,3+2
1014,1,4,1+4,1+4
1015,2,3,2+3,2+3
1016,3,2,3+2,3+2
1017,3,1,3+1,3+1
1018,2,1,2+1,2+1
1019,1,1,1+1,1+1
1020,4,1,4+1,4+1
1021,1,1,1+1,1+1
1022,4,2,4+2,4+2
1023,4,2,4+2,4+2
1024,3,3,3+3,3+3
1025,1,5,1+5,1+5
1026,4,3,4+3,4+3
1027,2,1,2+1,2+1
1028,3,1,3+1,3+1
1029,3,2,3+2,3+2
1030,4,1,4+1,4+1
1031,3,3,3+3,3+3
1032,1,5,1+5,1+5
1033,1,3,1+3,1+3
1034,1,1,1+1,1+1
1035,4,2,4+2,4+2
1036,3,3,3+3,3+3
1037,1,1,1+1,1+1
1038,1,1,1+1,1+1
1039,1,1,1+1,1+1
1040,4,1,4+1,4+1
1041,3,1,3+1,3+1
1042,3,1,3+1,3+1
1043,3,1,3+1,3+1
1044,4,1,4+1,4+1
1045,4,2,4+2,4+2
1046,4,5,4+5,4+5
1047,2,2,2+2,2+2
1048,1,1,1+1,1+1
1049,3,5,3+5,3+5
1050,1,3,1+3,1+3
1051,2,2,2+2,2+2
1052,1,2,1+2,1+2
1053,4,3,4+3,4+3
1054,1,1,1+1,1+1
1055,3,2,3+2,3+2
1056,4,3,4+3,4+3
1057,4,1,4+1,4+1
1058,1,4,1+4,1+4
1059,2,2,2+2,2+2
1060,4,3,4+3,4+3
1061,2,3,2+3,2+3
1062,4,3,4+3,4+3
1063,4,1,4+1,4+1
1064,4,4,4+4,4+4
1065,1,5,1+5,1+5
1066,1,1,1+1,1+1
1067,1,1,1+1,1+1
1068,4,3,4+3,4+3
1069,2,3,2+3,2+3
1070,1,1,1+1,1+1
1071,3,1,3+1,3+1
1072,1,1,1+1,1+1
1073,3,1,3+1,3+1
1074,1,2,1+2,1+2
1075,1,3,1+3,1+3
1076,4,3,4+3,4+3
1077,4,2,4+2,4+2
1078,3,2,3+2,3+2
1079,4,2,4+2,4+2
1080,1,1,1+1,1+1
1081,1,1,1+1,1+1
1082,1,3,1+3,1+3
1083,2,3,2+3,2+3
1084,3,3,3+3,3+3
1085,1,1,1+1,1+1
1086,4,1,4+1,4+1
1087,3,2,3+2,3+2
1088,3,3,3+3,3+3
1089,3,5,3+5,3+5
1090,3,1,3+1,3+1
1091,2,3,2+3,2+3
1092,3,2,3+2,3+2
1093,1,4,1+4,1+4
1094,1,1,1+1,1+1
1095,4,1,4+1,4+1
1096,4,2,4+2,4+2
1097,4,3,4+3,4+3
1098,4,1,4+1,4+1
1099,1,1,1+1,1+1
1100,4,5,4+5,4+5
1101,1,1,1+1,1+1
1102,3,1,3+1,3+1
1103,4,2,4+2,4+2
1104,2,1,2+1,2+1
1105,4,1,4+1,4+1
1106,3,2,3+2,3+2
1107,2,1,2+1,2+1
1108,1,1,1+1,1+1
1109,3,3,3+3,3+3
1110,4,1,4+1,4+1
1111,1,5,1+5,1+5
1112,1,1,1+1,1+1
1113,1,1,1+1,1+1
1114,4,3,4+3,4+3
1115,1,1,1+1,1+1
1116,4,5,4+5,4+5
1117,2,1,2+1,2+1
1118,2,3,2+3,2+3
1119,4,3,4+3,4+3
1120,1,4,1+4,1+4
1121,4,1,4+1,4+1
1122,1,1,1+1,1+1
1123,4,3,4+3,4+3
1124,2,2,2+2,2+2
1125,4,3,4+3,4+3
1126,4,2,4+2,4+2
1127,1,5,1+5,1+5
1128,1,1,1+1,1+1
1129,2,1,2+1,2+1
1130,4,2,4+2,4+2
1131,3,3,3+3,3+3
1132,3,3,3+3,3+3
1133,4,2,4+2,4+2
1134,1,1,1+1,1+1
1135,2,2,2+2,2+2
1136,3,4,3+4,3+4
1137,4,5,4+5,4+5
1138,2,1,2+1,2+1
1139,3,2,3+2,3+2
1140,1,1,1+1,1+1
1141,4,2,4+2,4+2
1142,2,3,2+3,2+3
1143,2,2,2+2,2+2
1144,3,2,3+2,3+2
1145,1,3,1+3,1+3
1146,1,1,1+1,1+1
1147,2,3,2+3,2+3
1148,3,2,3+2,3+2
1149,4,3,4+3,4+3
1150,3,3,3+3,3+3
1151,4,1,4+1,4+1
1152,3,3,3+3,3+3
1153,3,2,3+2,3+2
1154,4,2,4+2,4+2
1155,1,1,1+1,1+1
1156,1,2,1+2,1+2
1157,1,4,1+4,1+4
1158,1,1,1+1,1+1
1159,3,2,3+2,3+2
1160,1,3,1+3,1+3
1161,1,4,1+4,1+4
1162,1,3,1+3,1+3
1163,3,1,3+1,3+1
1164,1,1,1+1,1+1
1165,4,3,4+3,4+3
1166,3,5,3+5,3+5
1167,3,2,3+2,3+2
1168,1,1,1+1,1+1
1169,4,3,4+3,4+3
1170,4,2,4+2,4+2
1171,1,1,1+1,1+1
1172,2,2,2+2,2+2
1173,3,2,3+2,3+2
1174,3,2,3+2,3+2
1175,4,2,4+2,4+2
1176,2,5,2+5,2+5
1177,2,1,2+1,2+1
1178,4,1,4+1,4+1
1179,1,2,1+2,1+2
1180,2,3,2+3,2+3
1181,1,1,1+1,1+1
1182,4,2,4+2,4+2
1183,2,2,2+2,2+2
1184,1,3,1+3,1+3
1185,3,1,3+1,3+1
1186,1,1,1+1,1+1
1187,1,5,1+5,1+5
1188,4,2,4+2,4+2
1189,4,3,4+3,4+3
1190,4,3,4+3,4+3
1191,1,1,1+1,1+1
1192,2,4,2+4,2+4
1193,1,2,1+2,1+2
1194,4,2,4+2,4+2
1195,4,3,4+3,4+3
1196,4,2,4+2,4+2
1197,4,2,4+2,4+2
1198,1,2,1+2,1+2
1199,1,1,1+1,1+1
1200,4,2,4+2,4+2
1201,4,2,4+2,4+2
1202,3,3,3+3,3+3
1203,1,2,1+2,1+2
1204,4,3,4+3,4+3
1205,2,1,2+1,2+1
1206,3,2,3+2,3+2
1207,3,2,3+2,3+2
1208,2,3,2+3,2+3
1209,4,1,4+1,4+1
1210,1,1,1+1,1+1
1211,4,2,4+2,4+2
1212,1,3,1+3,1+3
1213,2,2,2+2,2+2
1214,4,3,4+3,4+3
1215,4,3,4+3,4+3
1216,4,2,4+2,4+2
1217,4,1,4+1,4+1
1218,1,1,1+1,1+1
1219,2,3,2+3,2+3
1220,4,3,4+3,4+3
1221,1,1,1+1,1+1
1222,1,5,1+5,1+5
1223,4,2,4+2,4+2
1224,1,1,1+1,1+1
1225,3,1,3+1,3+1
1226,2,1,2+1,2+1
1227,3,3,3+3,3+3
1228,2,2,2+2,2+2
1229,1,4,1+4,1+4
1230,2,1,2+1,2+1
1231,4,2,4+2,4+2
1232,4,3,4+3,4+3
1233,1,3,1+3,1+3
1234,4,1,4+1,4+1
1235,1,1,1+1,1+1
1236,4,2,4+2,4+2
1237,4,2,4+2,4+2
1238,4,2,4+2,4+2
1239,1,5,1+5,1+5
1240,1,3,1+3,1+3
1241,3,3,3+3,3+3
1242,3,4,3+4,3+4
1243,1,1,1+1,1+1
1244,4,3,4+3,4+3
