id,Family_Cluster,Happiness_Cluster,CombT,CombT_Merged
1347,4,1,4+1,4+1
1348,1,1,1+1,1+1
1349,2,1,2+1,2+1
1350,4,5,4+5,4+5
1351,4,3,4+3,4+3
1352,2,2,2+2,2+2
1353,1,1,1+1,1+1
1354,3,2,3+2,3+2
1355,1,3,1+3,1+3
1356,1,3,1+3,1+3
1357,2,5,2+5,2+5
1358,4,2,4+2,4+2
1359,3,3,3+3,3+3
1360,1,3,1+3,1+3
1361,4,2,4+2,4+2
1362,3,3,3+3,3+3
1363,1,1,1+1,1+1
1364,2,1,2+1,2+1
1365,4,1,4+1,4+1
1366,2,2,2+2,2+2
1367,2,3,2+3,2+3
1368,4,3,4+3,4+3
1369,2,3,2+3,2+3
1370,1,1,1+1,1+1
1371,4,3,4+3,4+3
1372,4,2,4+2,4+2
1373,3,3,3+3,3+3
1374,4,1,4+1,4+1
1375,4,3,4+3,4+3
1376,1,3,1+3,1+3
1377,1,2,1+2,1+2
1378,1,1,1+1,1+1
1379,4,3,4+3,4+3
1380,3,3,3+3,3+3
1381,1,1,1+1,1+1
1382,3,2,3+2,3+2
1383,3,4,3+4,3+4
1384,2,5,2+5,2+5
1385,1,3,1+3,1+3
1386,4,2,4+2,4+2
1387,2,3,2+3,2+3
1388,4,2,4+2,4+2
1389,1,1,1+1,1+1
1390,3,3,3+3,3+3
1391,2,3,2+3,2+3
1392,3,2,3+2,3+2
1393,1,1,1+1,1+1
1394,3,3,3+3,3+3
1395,4,3,4+3,4+3
1396,1,3,1+3,1+3
1397,4,1,4+1,4+1
1398,1,1,1+1,1+1
1399,3,3,3+3,3+3
1400,4,3,4+3,4+3
1401,2,1,2+1,2+1
1402,4,1,4+1,4+1
1403,3,1,3+1,3+1
1404,4,1,4+1,4+1
1405,1,1,1+1,1+1
1406,1,1,1+1,1+1
1407,1,1,1+1,1+1
1408,2,2,2+2,2+2
1409,4,4,4+4,4+4
1410,3,2,3+2,3+2
1411,1,1,1+1,1+1
1412,4,3,4+3,4+3
1413,3,3,3+3,3+3
1414,1,1,1+1,1+1
1415,4,3,4+3,4+3
1416,4,2,4+2,4+2
1417,2,4,2+4,2+4
1418,3,2,3+2,3+2
1419,4,3,4+3,4+3
1420,4,3,4+3,4+3
1421,1,1,1+1,1+1
1422,4,2,4+2,4+2
1423,4,2,4+2,4+2
1424,4,2,4+2,4+2
1425,3,2,3+2,3+2
1426,1,1,1+1,1+1
1427,1,4,1+4,1+4
1428,4,1,4+1,4+1
1429,1,1,1+1,1+1
1430,1,1,1+1,1+1
1431,4,3,4+3,4+3
1432,4,1,4+1,4+1
1433,1,3,1+3,1+3
1434,4,1,4+1,4+1
1435,3,1,3+1,3+1
1436,1,1,1+1,1+1
1437,4,3,4+3,4+3
1438,4,2,4+2,4+2
1439,1,1,1+1,1+1
1440,4,2,4+2,4+2
1441,4,1,4+1,4+1
1442,2,2,2+2,2+2
1443,3,2,3+2,3+2
1444,4,3,4+3,4+3
1445,3,2,3+2,3+2
1446,4,2,4+2,4+2
1447,1,1,1+1,1+1
1448,3,1,3+1,3+1
1449,1,1,1+1,1+1
1450,4,3,4+3,4+3
1451,3,2,3+2,3+2
1452,3,4,3+4,3+4
1453,1,1,1+1,1+1
1454,4,2,4+2,4+2
1455,3,2,3+2,3+2
1456,1,3,1+3,1+3
1457,1,4,1+4,1+4
1458,3,1,3+1,3+1
1459,4,3,4+3,4+3
1460,1,1,1+1,1+1
1461,3,3,3+3,3+3
1462,2,3,2+3,2+3
1463,1,5,1+5,1+5
1464,4,3,4+3,4+3
1465,1,1,1+1,1+1
1466,1,1,1+1,1+1
1467,1,2,1+2,1+2
1468,4,3,4+3,4+3
1469,2,1,2+1,2+1
1470,1,1,1+1,1+1
1471,2,1,2+1,2+1
1472,4,2,4+2,4+2
1473,1,3,1+3,1+3
1474,4,1,4+1,4+1
1475,3,1,3+1,3+1
1476,2,3,2+3,2+3
1477,4,2,4+2,4+2
1478,1,2,1+2,1+2
1479,2,1,2+1,2+1
1480,3,1,3+1,3+1
1481,4,3,4+3,4+3
1482,1,5,1+5,1+5
1483,2,1,2+1,2+1
1484,2,2,2+2,2+2
1485,3,3,3+3,3+3
1486,4,2,4+2,4+2
1487,4,2,4+2,4+2
1488,4,1,4+1,4+1
1489,4,4,4+4,4+4
1490,4,3,4+3,4+3
1491,3,2,3+2,3+2
1492,4,5,4+5,4+5
1493,4,2,4+2,4+2
1494,1,1,1+1,1+1
1495,3,3,3+3,3+3
1496,1,1,1+1,1+1
1497,3,2,3+2,3+2
1498,2,2,2+2,2+2
1499,4,1,4+1,4+1
1500,1,2,1+2,1+2
1501,2,1,2+1,2+1
1502,1,1,1+1,1+1
1503,4,4,4+4,4+4
1504,3,5,3+5,3+5
1505,2,3,2+3,2+3
1506,4,1,4+1,4+1
1507,4,1,4+1,4+1
1508,4,5,4+5,4+5
1509,3,1,3+1,3+1
1510,3,2,3+2,3+2
1511,3,2,3+2,3+2
1512,2,5,2+5,2+5
1513,1,1,1+1,1+1
1514,1,2,1+2,1+2
1515,4,2,4+2,4+2
1516,4,1,4+1,4+1
1517,1,5,1+5,1+5
1518,4,1,4+1,4+1
1519,1,1,1+1,1+1
1520,3,1,3+1,3+1
1521,1,1,1+1,1+1
1522,4,4,4+4,4+4
1523,1,1,1+1,1+1
1524,4,3,4+3,4+3
1525,4,1,4+1,4+1
1526,2,3,2+3,2+3
1527,1,1,1+1,1+1
1528,3,2,3+2,3+2
1529,2,3,2+3,2+3
1530,3,2,3+2,3+2
1531,1,2,1+2,1+2
1532,4,2,4+2,4+2
1533,1,1,1+1,1+1
1534,4,2,4+2,4+2
1535,4,3,4+3,4+3
1536,4,3,4+3,4+3
1537,4,4,4+4,4+4
